Date,Adani Ports and Special Economic Zone Ltd.,Asian Paints Ltd.,Axis Bank Ltd.,Bajaj Auto Ltd.,Bajaj Finance Ltd.,Bajaj Finserv Ltd.,Bharat Petroleum Corporation Ltd.,Bharti Airtel Ltd.,Britannia Industries Ltd.,Cipla Ltd.,Divis Laboratories Ltd.,Dr. Reddys Laboratories Ltd.,Eicher Motors Ltd.,Grasim Industries Ltd.,HCL Technologies Ltd.,HDFC Bank Ltd.,Hero MotoCorp Ltd.,Hindalco Industries Ltd.,Hindustan Unilever Ltd.,Housing Development Finance Corporation Ltd.,ICICI Bank Ltd.,ITC Ltd.,Indian Oil Corporation Ltd.,IndusInd Bank Ltd.,Infosys Ltd.,JSW Steel Ltd.,Kotak Mahindra Bank Ltd.,Larsen & Toubro Ltd.,Mahindra & Mahindra Ltd.,Maruti Suzuki India Ltd.,NTPC Ltd.,Nestle India Ltd.,Oil & Natural Gas Corporation Ltd.,Power Grid Corporation of India Ltd.,Reliance Industries Ltd.,Shree Cement Ltd.,Sun Pharmaceutical Industries Ltd.,Tata Consultancy Services Ltd.,Tata Consumer Products Ltd.,Tata Steel Ltd.,Tech Mahindra Ltd.,Titan Company Ltd.,UPL Ltd.,UltraTech Cement Ltd.,Wipro Ltd.
2011-02-18,144.300003,259.910004,259.359985,1339.099976,61.22905,422.950348,98.625,304.238403,184.050003,307.25,313.149994,1537.349976,104.855003,355.200592,114.400002,217.610001,1464.900024,209.600006,279.399994,643.849976,186.581818,103.833336,80.75,226.550003,387.537506,88.334999,204.25,728.511108,324.799988,1228.699951,149.208328,3450.550049,178.933334,73.57502,463.382599,1719.699951,213.050003,544.849976,94.5,608.179443,165.074997,161.047501,90.699997,946.099976,162.262543
2011-02-21,143.649994,257.079987,261.390015,1335.75,61.559387,418.578369,98.25,303.641602,180.024994,306.200012,323.375,1537.25,104.790001,360.444519,116.275002,220.169998,1438.849976,212.699997,280.299988,648.099976,188.663635,105.466667,79.400002,229.550003,395.65625,92.029999,206.074997,734.377747,325.5,1207.349976,147.208328,3462.949951,184.03334,74.212517,473.684937,1716.75,215.199997,569.299988,96.150002,607.32196,169.350006,168.4375,92.366669,961.25,169.143799
2011-02-22,140.199997,251.009995,252.929993,1329.800049,63.031334,417.939789,95.041664,303.457947,179.699997,305.200012,314.524994,1550.75,105.105003,360.173401,115,213.845001,1390.550049,212.199997,280.299988,641.099976,186.745453,104.466667,76.262497,234.050003,392.731262,90.150002,204.399994,713.711121,319.875,1181.099976,146.541672,3454.899902,181.300003,73.837517,487.801147,1720.800049,208.225006,569.375,96.400002,594.841125,170.912506,173.797501,91.099998,956.349976,166.800034
2011-02-23,143.899994,247.804993,251,1307.199951,60.194317,440.290802,93.791664,301.34613,179.050003,303.149994,310.024994,1578.050049,106.07,352.427582,114.912498,211.410004,1472.300049,212.399994,280.100006,647,182.927277,103.73333,75.875,229.600006,384.850006,89.169998,203.975006,711.533325,320.299988,1192.5,144.083328,3479.75,181.03334,74.70002,493.150421,1736.75,208.100006,562.775024,95.300003,597.365845,170.862503,171.8125,87.766663,968.900024,163.800034
2011-02-24,146.300003,241.134995,238.070007,1264.300049,58.77095,422.066132,89.941666,297.857056,177.824997,298.700012,303.174988,1500.099976,102.910004,347.454773,110.224998,205.910004,1494.75,205.300003,280.100006,616.799988,172.972733,100.433334,73.625,223.699997,376.100006,86.639999,201.024994,673.955566,308,1174.550049,142.458328,3448,176.633331,73.687515,477.57309,1715.300049,203.425003,555.900024,87.400002,574.166748,163.699997,163.550003,84.199997,967.150024,160.18129
2011-02-25,148.199997,240.649994,246.5,1282.25,56.385715,418.971375,89.849998,302.769318,173.300003,301.649994,298.700012,1527.400024,103.775002,348.391998,111.474998,204.214996,1500.550049,200.050003,280.299988,623.599976,179.318176,104.199997,73.262497,215.600006,375.912506,86.43,202,672.866638,297.600006,1168.650024,141.541672,3540.300049,174.733337,74.400017,478.58847,1710.599976,208.774994,555.025024,88.599998,578.168213,160.412506,167.167496,86.699997,959.200012,162.393784
2011-02-28,138,240.070007,243.710007,1269.150024,59.723099,425.209991,92.241669,304.192505,168.175003,299.649994,294.75,1546,105.915001,349.360229,110.612503,205.225006,1465.199951,201.350006,282,629.200012,176.518188,112.666664,74.737503,219.149994,374.637512,87.029999,202.524994,679.088867,307.875,1208.199951,141.541672,3548.699951,180.233337,74.212517,477.597839,1728.849976,211.75,555.125,89.25,578.454041,161.3125,166.392502,90.699997,930.799988,164.325043
2011-03-01,138.949997,253.279999,257.76001,1335.5,60.014572,434.101288,97.391663,309.97702,171.550003,305.899994,303.274994,1582.25,109.684998,355.3013,117.1875,213.899994,1491.849976,212.449997,287.450012,650.75,186.581818,115.73333,77.724998,232.699997,385.299988,94.419998,207.199997,716.111084,332.149994,1290.75,151.125,3572.699951,182.666672,74.625015,489.782349,1728.349976,223.100006,562.25,91,604.463745,168.987503,170.115005,93.666664,955.849976,166.293793
2011-03-03,135.600006,253.794998,261.959991,1350.099976,59.980568,520.95105,95.133331,303.136597,173.25,305.799988,301.850006,1579.349976,110.339996,353.767609,115.112503,219.315002,1506.400024,210,290.799988,672.099976,185.372726,115.699997,78.087502,232.350006,378.262512,96.019997,207.425003,739.888916,335.924988,1322.25,148.375,3578.649902,179.899994,74.475021,484.111115,1719.099976,215.199997,575.099976,90.400002,594.888733,171.375,172.642502,94.533333,973.950012,166.612534
2011-03-04,132.800003,250.824997,265.660004,1376.900024,61.826572,537.456421,96.666664,300.198425,172.225006,304.149994,307.850006,1571.900024,106.809998,356.339233,115.712502,221.824997,1536.800049,210.050003,287.899994,681.5,184.790909,114.933334,78.650002,238.800003,382.774994,95.294998,209.600006,715.911133,338.075012,1312.050049,149.291672,3670.300049,179.233337,74.250015,486.488586,1716.949951,216.175003,567.775024,90.75,588.981812,171.3125,172.270004,94.766663,1009.75,165.52504
